city,state,traffic_volume,avg_speed_kmh,congestion_level,weather_condition,incident_type,road_type,lane_closure
San Antonio,AZ,2436,43.38,Medium,Cloudy,None,Urban,Yes
Houston,IL,1891,36.75,High,Cloudy,Breakdown,Rural,No
San Antonio,AZ,1252,72.94,High,Cloudy,None,Rural,Yes
New York,IL,4819,34.87,Medium,Clear,Accident,Urban,No
San Antonio,AZ,779,89.02,Medium,Clear,Accident,Rural,Yes
San Diego,PA,366,84.83,Low,Cloudy,None,Expressway,Yes
Phoenix,IL,125,56.34,Low,Clear,Construction,Expressway,No
Los Angeles,TX,3096,12.81,High,Cloudy,Construction,Rural,No
Phoenix,TX,253,12.49,Medium,Fog,Accident,Highway,No
Philadelphia,AZ,4338,68.61,High,Fog,Accident,Highway,Yes
Los Angeles,AZ,3825,102.31,High,Clear,Breakdown,Urban,No
Philadelphia,IL,2994,75.88,Low,Fog,Accident,Highway,No
Philadelphia,IL,4405,57.92,High,Fog,Construction,Expressway,Yes
New York,PA,3101,107.03,Low,Snow,Accident,Rural,Yes
New York,CA,2713,31.67,Low,Snow,Breakdown,Rural,No
San Jose,TX,481,49.54,High,Cloudy,Breakdown,Urban,Yes
Chicago,CA,2813,72.18,Low,Rain,Construction,Expressway,No
San Jose,CA,4841,42.08,Medium,Rain,Construction,Highway,No
San Jose,NY,3212,119.75,Medium,Snow,Breakdown,Rural,Yes
Chicago,IL,247,59.76,Low,Cloudy,Accident,Expressway,No
Houston,NY,88,15.69,Medium,Snow,None,Urban,Yes
Los Angeles,NY,2568,29.37,High,Fog,None,Highway,Yes
Dallas,CA,2176,68.57,Low,Cloudy,Construction,Highway,Yes
San Jose,NY,778,70.51,Medium,Cloudy,Construction,Urban,Yes
San Antonio,PA,3949,118.26,Low,Rain,Accident,Rural,No
San Antonio,IL,3215,76,High,Rain,None,Rural,No
Philadelphia,CA,4829,83.33,Low,Rain,Accident,Rural,Yes
Chicago,IL,4277,33.51,Medium,Clear,None,Expressway,Yes
Philadelphia,PA,2174,21.76,High,Fog,Construction,Highway,Yes
San Diego,AZ,4184,76.22,High,Fog,Accident,Expressway,Yes
San Diego,NY,3821,105.14,High,Fog,Construction,Rural,No
Dallas,CA,3307,74.61,High,Fog,Accident,Rural,No
New York,TX,3256,58.71,High,Fog,Breakdown,Expressway,No
New York,IL,2648,73.6,High,Fog,Breakdown,Urban,No
Chicago,PA,4485,61.56,High,Clear,Accident,Highway,Yes
Chicago,NY,3363,25.61,Medium,Cloudy,Construction,Highway,No
San Jose,IL,1294,91.53,Low,Rain,Breakdown,Rural,Yes
San Diego,PA,4137,68.63,Low,Rain,Construction,Expressway,No
San Jose,IL,707,53.93,Low,Rain,Accident,Highway,No
New York,AZ,3015,71.56,High,Fog,None,Urban,No
Los Angeles,PA,1749,36.53,Low,Rain,Accident,Expressway,No
Los Angeles,IL,4506,57.08,Low,Clear,Breakdown,Rural,Yes
Chicago,AZ,3093,78.47,Low,Fog,Construction,Expressway,Yes
Philadelphia,AZ,4474,34.88,High,Fog,Construction,Rural,No
New York,AZ,1849,92.39,High,Clear,Accident,Rural,No
Los Angeles,NY,4585,67.31,Low,Cloudy,Construction,Expressway,Yes
New York,PA,3676,104.79,Medium,Clear,Accident,Rural,Yes
Phoenix,IL,4027,103.2,Medium,Clear,Accident,Urban,No
San Antonio,IL,2026,64.4,Low,Clear,Construction,Expressway,No
San Diego,PA,4978,31.5,Low,Cloudy,Accident,Urban,No
San Jose,AZ,3719,91.03,Medium,Rain,Breakdown,Highway,No
New York,IL,4242,56.05,Low,Clear,Construction,Expressway,Yes
San Antonio,IL,987,75.41,Low,Fog,Accident,Rural,No
Phoenix,AZ,1339,21.8,High,Rain,Breakdown,Urban,Yes
San Jose,TX,4720,79.47,High,Rain,None,Urban,No
New York,TX,2200,51.09,Medium,Snow,Accident,Expressway,No
Chicago,AZ,4974,46.76,Low,Clear,Construction,Urban,Yes
San Antonio,NY,562,117.79,High,Rain,None,Expressway,Yes
San Jose,IL,4811,57.57,Low,Fog,Breakdown,Urban,Yes
New York,IL,1566,84.58,High,Cloudy,Construction,Urban,Yes
San Antonio,TX,2132,79.05,Medium,Cloudy,None,Rural,No
Phoenix,AZ,1454,21.47,Low,Rain,Accident,Highway,Yes
New York,PA,4542,92.27,Medium,Cloudy,None,Expressway,No
New York,PA,1981,45.55,High,Snow,Construction,Expressway,No
New York,NY,1935,97.88,High,Cloudy,Accident,Expressway,No
Dallas,AZ,2403,76.84,High,Cloudy,Breakdown,Highway,Yes
Chicago,TX,3857,44.88,High,Cloudy,Breakdown,Highway,No
Phoenix,TX,2796,49.19,Low,Fog,None,Expressway,No
San Jose,IL,630,90.47,High,Snow,Breakdown,Urban,No
Dallas,CA,2262,70.51,Low,Snow,Breakdown,Rural,Yes
Philadelphia,NY,3379,83.52,Medium,Cloudy,None,Rural,No
Dallas,NY,151,27.42,High,Rain,Accident,Rural,No
San Diego,CA,4600,96.57,Low,Fog,Construction,Rural,Yes
San Diego,PA,4338,45.24,Low,Rain,Accident,Urban,Yes
New York,PA,3892,78.18,Low,Clear,Accident,Rural,No
Dallas,PA,3013,22.61,High,Fog,Construction,Highway,No
Philadelphia,TX,4955,45.36,Low,Cloudy,None,Expressway,Yes
Dallas,AZ,348,81.38,Medium,Fog,None,Expressway,Yes
Chicago,NY,4166,40.16,Medium,Fog,Accident,Expressway,No
Chicago,CA,94,106.83,Medium,Rain,Construction,Highway,Yes
Philadelphia,IL,2593,82.74,Medium,Clear,None,Rural,No
Dallas,IL,3909,105.73,Medium,Fog,None,Highway,No
San Antonio,TX,4828,53.49,Low,Clear,Accident,Expressway,No
Chicago,NY,4444,13.74,High,Clear,Accident,Rural,Yes
Chicago,AZ,3602,73.38,Medium,Rain,None,Highway,No
Los Angeles,NY,3205,47.31,High,Rain,Construction,Highway,Yes
Dallas,PA,3181,59.3,High,Cloudy,Construction,Urban,No
Chicago,IL,337,84.92,Low,Cloudy,Accident,Rural,No
Phoenix,NY,3755,87.07,High,Fog,Construction,Urban,Yes
Dallas,IL,566,13.03,Medium,Cloudy,Construction,Rural,Yes
San Diego,CA,2251,94.62,High,Rain,Accident,Rural,Yes
Los Angeles,CA,4487,64.29,Low,Cloudy,None,Expressway,Yes
Chicago,IL,4231,71.24,High,Cloudy,None,Expressway,Yes
Los Angeles,AZ,3708,42.78,High,Cloudy,Accident,Expressway,Yes
San Diego,AZ,4336,56.29,High,Clear,Construction,Highway,No
Philadelphia,NY,3373,88.14,Medium,Cloudy,Accident,Expressway,Yes
Philadelphia,IL,4126,95.44,Medium,Rain,None,Urban,No
Dallas,TX,3986,52.58,High,Clear,Accident,Rural,No
San Diego,AZ,1219,86.02,High,Cloudy,Accident,Rural,No
Houston,AZ,1040,38.38,Low,Cloudy,None,Expressway,No
Houston,PA,3755,101.52,High,Rain,Breakdown,Highway,Yes
Dallas,CA,1901,77.08,Low,Fog,Breakdown,Expressway,Yes
New York,AZ,2759,95.27,Low,Rain,Accident,Rural,Yes
Los Angeles,AZ,4057,62.49,High,Snow,Accident,Rural,No
Los Angeles,PA,2671,35.2,Medium,Rain,None,Expressway,Yes
Philadelphia,AZ,2228,57.22,Low,Fog,Construction,Urban,Yes
Houston,PA,888,51.96,Medium,Rain,Accident,Urban,Yes
San Jose,IL,1605,46.6,Medium,Clear,Construction,Rural,No
Chicago,IL,1272,33.34,Medium,Clear,Construction,Urban,No
Chicago,CA,4984,93.51,Low,Rain,Construction,Expressway,No
Chicago,NY,2093,19.5,Low,Clear,Construction,Urban,Yes
Philadelphia,PA,1483,107.63,High,Fog,Accident,Rural,No
San Diego,AZ,1218,29.25,Low,Snow,None,Expressway,No
San Antonio,NY,997,117.79,High,Snow,Accident,Rural,No
Houston,IL,210,118.73,Low,Fog,Breakdown,Highway,No
Houston,AZ,4609,53.82,Medium,Cloudy,Construction,Urban,No
San Jose,NY,3181,118.66,Low,Cloudy,Construction,Urban,No
Los Angeles,PA,2677,105.6,Medium,Snow,Accident,Highway,No
New York,PA,2585,19.07,Low,Clear,Construction,Rural,No
Dallas,NY,2322,114.21,Medium,Clear,Breakdown,Urban,No
Los Angeles,PA,3513,14.68,High,Cloudy,Construction,Rural,Yes
San Diego,TX,4854,30.01,Medium,Snow,Accident,Highway,Yes
Dallas,IL,210,74.31,Medium,Rain,Accident,Highway,No
Houston,CA,1834,18.88,Low,Rain,None,Rural,Yes
San Diego,CA,1994,27.79,High,Clear,Construction,Expressway,No
Dallas,TX,3232,114.88,Low,Fog,Breakdown,Expressway,Yes
San Jose,NY,4024,119.42,Medium,Cloudy,Construction,Highway,Yes
San Jose,PA,3674,97.8,Medium,Clear,Accident,Urban,No
Phoenix,TX,3794,66.67,Medium,Fog,Breakdown,Expressway,No
San Antonio,TX,816,109.03,Medium,Fog,Breakdown,Highway,Yes
San Jose,PA,2077,22.31,Low,Cloudy,Accident,Urban,Yes
Houston,IL,4056,113.72,Low,Fog,Breakdown,Urban,No
New York,PA,234,48.67,Low,Fog,Construction,Rural,No
Chicago,PA,1946,104.76,High,Cloudy,Breakdown,Rural,No
Phoenix,AZ,3345,83.52,Medium,Snow,Accident,Urban,Yes
Chicago,NY,2454,115.63,High,Rain,Breakdown,Urban,No
San Antonio,CA,2589,105.11,Medium,Snow,Accident,Highway,No
Dallas,CA,782,107.67,Low,Rain,Accident,Urban,Yes
Philadelphia,TX,1671,79.49,Medium,Rain,Construction,Urban,No
San Jose,TX,627,101.65,Medium,Cloudy,Breakdown,Urban,No
New York,TX,2211,93.28,High,Snow,Construction,Urban,Yes
San Antonio,NY,427,27.78,Low,Cloudy,None,Urban,Yes
Chicago,TX,3898,81.35,Medium,Snow,None,Highway,No
Phoenix,TX,1358,26.3,Low,Fog,None,Highway,No
San Jose,AZ,4242,105.64,High,Clear,None,Highway,Yes
Houston,NY,891,17.25,Medium,Snow,Construction,Rural,Yes
San Jose,IL,2221,118.58,Medium,Snow,Accident,Expressway,No
Phoenix,IL,205,54.07,Medium,Fog,Construction,Rural,Yes
Phoenix,PA,4198,28.77,Medium,Fog,Breakdown,Rural,Yes
Philadelphia,AZ,1752,112.92,Low,Rain,Construction,Expressway,Yes
San Jose,CA,2685,15,High,Clear,Construction,Rural,No
San Jose,PA,3435,61.71,High,Clear,None,Highway,Yes
Philadelphia,IL,4871,94.72,Medium,Clear,Breakdown,Highway,Yes
San Diego,NY,1463,44.84,High,Snow,Accident,Highway,Yes
San Diego,CA,94,68.17,High,Snow,Accident,Urban,Yes
Dallas,TX,1736,87.05,Low,Cloudy,Construction,Highway,No
San Diego,NY,2219,114.72,Low,Rain,None,Rural,No
Los Angeles,CA,3291,21.3,Low,Fog,Construction,Expressway,No
San Jose,IL,2775,27.29,Low,Fog,Accident,Highway,Yes
New York,PA,1473,65.98,Medium,Fog,Accident,Rural,No
San Jose,TX,4064,56.03,Low,Cloudy,Breakdown,Rural,No
Los Angeles,TX,4645,55.19,Medium,Cloudy,Breakdown,Rural,No
Los Angeles,NY,123,42.67,High,Snow,Construction,Urban,Yes
Chicago,PA,3068,71.68,High,Cloudy,Breakdown,Urban,Yes
San Jose,TX,1610,107.16,Low,Cloudy,Breakdown,Rural,Yes
San Antonio,CA,941,27.7,Medium,Fog,Accident,Rural,Yes
Los Angeles,AZ,3182,33.68,Medium,Cloudy,None,Urban,No
New York,IL,1939,83.79,Medium,Rain,Accident,Expressway,No
Philadelphia,NY,1296,16.18,High,Cloudy,Construction,Rural,Yes
Dallas,PA,3852,84.11,Low,Clear,Accident,Expressway,Yes
Chicago,AZ,522,44.59,High,Cloudy,Construction,Expressway,Yes
Philadelphia,AZ,2267,49.36,Medium,Snow,Construction,Highway,No
Chicago,NY,750,54.61,High,Rain,None,Expressway,Yes
New York,CA,2129,48.45,Low,Cloudy,Construction,Highway,Yes
Phoenix,PA,102,102.53,Low,Snow,Construction,Highway,No
San Jose,IL,3037,114.07,Low,Rain,Breakdown,Highway,Yes
Houston,NY,188,70.28,Medium,Cloudy,Accident,Rural,No
San Antonio,PA,1447,74.01,High,Rain,Breakdown,Expressway,Yes
Philadelphia,AZ,2187,17.75,Medium,Clear,Accident,Expressway,No
San Jose,AZ,877,88.45,Low,Fog,Breakdown,Expressway,Yes
San Antonio,NY,2133,74.25,Medium,Cloudy,Breakdown,Expressway,No
Phoenix,PA,3026,15.54,Low,Rain,Breakdown,Highway,Yes
Houston,AZ,1298,31.83,High,Snow,Breakdown,Highway,No
San Antonio,NY,4699,32.21,Low,Clear,Breakdown,Highway,No
San Antonio,NY,4885,28.81,High,Fog,Breakdown,Expressway,No
Philadelphia,IL,4414,82.45,High,Snow,Breakdown,Urban,Yes
San Diego,NY,235,112.13,Low,Clear,Breakdown,Highway,Yes
Houston,PA,3492,93.93,High,Cloudy,Accident,Expressway,No
San Jose,PA,3243,62.51,High,Snow,Breakdown,Rural,No
Phoenix,AZ,4978,54.45,Low,Rain,None,Rural,Yes
Houston,TX,1462,52.51,Low,Clear,Breakdown,Expressway,No
New York,IL,3238,76.14,Low,Clear,None,Expressway,Yes
San Diego,PA,2966,49.51,Medium,Cloudy,Accident,Expressway,No
New York,AZ,1065,34.87,Low,Clear,Breakdown,Expressway,No
Phoenix,AZ,4587,76.31,Low,Fog,None,Urban,No
Philadelphia,IL,4184,52.98,High,Rain,Accident,Expressway,Yes
Philadelphia,IL,4311,11.55,High,Cloudy,Breakdown,Expressway,Yes
Phoenix,AZ,1985,12.45,High,Fog,None,Expressway,Yes
Chicago,TX,1518,40.16,Medium,Cloudy,Construction,Rural,No
Phoenix,CA,4588,66.37,Medium,Cloudy,Breakdown,Rural,Yes
San Diego,AZ,4476,48.97,Low,Rain,Accident,Urban,Yes
Los Angeles,IL,1408,12.65,High,Clear,Accident,Highway,No
Philadelphia,NY,1819,34.55,High,Cloudy,Breakdown,Urban,No
Dallas,NY,2811,20.61,High,Snow,None,Expressway,Yes
San Diego,IL,2932,114.35,Medium,Rain,None,Expressway,No
San Diego,IL,1239,44.41,Low,Rain,Breakdown,Rural,No
San Diego,CA,1242,11.62,Medium,Snow,Construction,Expressway,No
San Antonio,PA,2866,82.66,High,Rain,None,Urban,No
San Diego,IL,3671,35.57,Medium,Cloudy,Accident,Expressway,Yes
Philadelphia,NY,4906,72.34,Low,Fog,Breakdown,Rural,No
Los Angeles,TX,1092,26.58,Low,Clear,Construction,Expressway,No
Los Angeles,IL,275,118.24,High,Fog,Accident,Urban,No
San Diego,CA,2028,116.73,Medium,Rain,None,Highway,Yes
New York,TX,4027,82.16,High,Snow,Accident,Rural,Yes
Philadelphia,CA,3881,87.79,High,Rain,Breakdown,Rural,Yes
Philadelphia,TX,2694,56.85,Low,Rain,Construction,Urban,Yes
Houston,IL,1933,115.84,High,Rain,Breakdown,Highway,No
San Jose,NY,590,56.61,High,Clear,Accident,Highway,No
Chicago,TX,695,36.34,Low,Rain,Breakdown,Highway,No
Chicago,AZ,4851,22.69,Medium,Rain,None,Expressway,Yes
New York,PA,4776,32.89,Medium,Rain,Accident,Highway,Yes
Chicago,CA,4336,72.94,Medium,Snow,Breakdown,Urban,No
Houston,TX,1738,36.96,Low,Cloudy,Accident,Urban,Yes
Phoenix,CA,904,81.97,High,Rain,Construction,Urban,No
Chicago,NY,454,52.04,Medium,Rain,Breakdown,Urban,Yes
Philadelphia,CA,3393,107.56,Low,Rain,Breakdown,Rural,No
Phoenix,CA,2527,71.43,Medium,Clear,Breakdown,Rural,Yes
Chicago,AZ,569,78.49,Medium,Snow,None,Urban,No
Philadelphia,CA,2990,71.22,Medium,Fog,Construction,Expressway,No
Philadelphia,TX,1457,107.41,High,Cloudy,Construction,Urban,Yes
San Diego,CA,870,16.98,Low,Rain,Construction,Highway,Yes
Los Angeles,IL,3724,17.41,Medium,Fog,None,Highway,Yes
New York,CA,4580,87.19,Medium,Fog,Breakdown,Highway,Yes
Houston,IL,3885,94.48,Low,Clear,Accident,Urban,No
San Antonio,PA,4117,57.69,Low,Clear,None,Expressway,Yes
San Jose,CA,3337,48.75,Low,Fog,Accident,Highway,No
Chicago,PA,2231,40.57,Low,Rain,Construction,Rural,No
Chicago,CA,4764,35.78,Low,Cloudy,Accident,Expressway,No
Phoenix,TX,3282,110.32,High,Rain,None,Rural,Yes
Phoenix,IL,474,42.47,Low,Snow,None,Expressway,Yes
San Jose,PA,1601,81.29,Medium,Snow,None,Expressway,Yes
Chicago,PA,407,96.58,High,Snow,Accident,Expressway,No
Dallas,IL,3496,12.42,Medium,Rain,Accident,Highway,Yes
Houston,AZ,1644,13.73,High,Clear,None,Highway,Yes
Chicago,CA,1060,46.65,Low,Fog,None,Rural,No
Los Angeles,CA,246,86.56,High,Fog,Accident,Highway,No
San Jose,TX,1083,38.69,Medium,Rain,Construction,Expressway,Yes
Dallas,AZ,911,10.16,High,Rain,None,Urban,Yes
Houston,AZ,398,41.7,High,Cloudy,Accident,Rural,Yes
Chicago,TX,3827,19.91,Low,Snow,None,Rural,No
San Antonio,PA,1708,34.14,Medium,Rain,Breakdown,Urban,No
San Diego,IL,624,46.65,High,Cloudy,Construction,Rural,No
Los Angeles,PA,1869,24.09,Medium,Cloudy,Construction,Highway,No
San Antonio,NY,980,87.7,High,Clear,Breakdown,Expressway,No
Phoenix,TX,4058,38.15,Medium,Snow,Breakdown,Rural,Yes
Phoenix,IL,4732,82.72,Medium,Fog,Breakdown,Urban,Yes
Chicago,PA,533,75.89,Medium,Rain,Construction,Highway,Yes
Phoenix,PA,3962,108.79,Low,Clear,Accident,Highway,No
Los Angeles,AZ,407,19.67,Low,Clear,Construction,Expressway,Yes
Houston,TX,4530,33.61,Medium,Cloudy,Breakdown,Expressway,No
Philadelphia,NY,303,105.17,Medium,Fog,None,Expressway,Yes
New York,CA,4044,100.43,Low,Clear,Breakdown,Expressway,No
San Jose,TX,884,31.13,High,Snow,Breakdown,Expressway,No
Houston,NY,1240,21.85,Medium,Clear,Construction,Urban,Yes
Philadelphia,NY,1753,104.19,Medium,Cloudy,Breakdown,Expressway,Yes
Dallas,TX,4941,29.6,Low,Clear,None,Rural,Yes
Los Angeles,IL,4614,105.82,High,Cloudy,None,Highway,No
San Antonio,TX,542,115.72,Medium,Clear,Breakdown,Highway,Yes
Philadelphia,PA,3459,34.29,Medium,Snow,Breakdown,Highway,No
Los Angeles,AZ,4196,102.44,Medium,Rain,None,Expressway,Yes
San Diego,PA,3177,56.62,Medium,Rain,None,Rural,Yes
San Antonio,NY,2170,96.77,Low,Clear,None,Expressway,No
Phoenix,NY,3915,54.81,High,Fog,Construction,Highway,Yes
Phoenix,CA,101,17.74,High,Rain,Accident,Expressway,Yes
San Antonio,NY,311,88.4,Medium,Clear,Construction,Urban,Yes
Dallas,CA,3052,26.58,High,Rain,Construction,Expressway,No
Dallas,NY,1958,111.97,High,Cloudy,Accident,Urban,No
Dallas,NY,3696,55.95,High,Clear,Construction,Urban,Yes
Philadelphia,TX,2427,19.02,Medium,Clear,Accident,Highway,Yes
San Jose,TX,3444,35.13,High,Rain,Breakdown,Urban,No
Philadelphia,AZ,4386,104.88,High,Snow,Breakdown,Rural,No
Chicago,PA,1675,45.32,Medium,Clear,None,Expressway,No
New York,IL,1278,104.2,Low,Clear,Construction,Rural,Yes
San Antonio,AZ,4436,28.95,Low,Snow,Breakdown,Expressway,No
Houston,NY,1439,61.5,Low,Snow,None,Expressway,Yes
New York,AZ,1537,106.61,Low,Snow,None,Expressway,No
San Diego,TX,966,15.32,High,Fog,Accident,Rural,Yes
Philadelphia,PA,2191,43.47,Medium,Fog,Construction,Urban,No
Philadelphia,NY,760,110.08,Low,Snow,None,Urban,No
Los Angeles,NY,1936,75.62,Medium,Fog,Breakdown,Rural,Yes
New York,AZ,2266,88.79,Low,Snow,None,Urban,Yes
Los Angeles,PA,1370,102.63,High,Cloudy,None,Urban,No
Houston,CA,2613,67.6,Medium,Cloudy,Breakdown,Urban,Yes
Los Angeles,IL,4495,102.99,Low,Clear,Accident,Rural,Yes
New York,PA,4881,80.26,High,Clear,Accident,Expressway,No
San Antonio,AZ,2676,85.42,High,Snow,Breakdown,Urban,No
San Diego,AZ,450,26.81,High,Snow,None,Urban,Yes
Philadelphia,IL,800,113.29,Low,Fog,Construction,Highway,No
Houston,NY,4966,97.57,Medium,Clear,Accident,Urban,Yes
Philadelphia,NY,1937,37.96,Low,Fog,None,Rural,No
Chicago,CA,3735,73.8,High,Rain,None,Rural,No
San Diego,AZ,1468,51.41,High,Snow,Breakdown,Expressway,No
San Jose,IL,2653,82.64,Low,Clear,Accident,Highway,Yes
Los Angeles,AZ,3821,119.31,Medium,Clear,None,Rural,No
Phoenix,TX,2068,15.03,Low,Fog,Breakdown,Expressway,No
New York,AZ,2086,114.78,Medium,Cloudy,Breakdown,Urban,Yes
Philadelphia,AZ,1695,17.96,Medium,Snow,Construction,Highway,No
Los Angeles,TX,3537,60.68,Low,Snow,Breakdown,Expressway,No
Houston,TX,863,63.03,Medium,Snow,Breakdown,Rural,Yes
Philadelphia,IL,4783,39.56,Medium,Cloudy,Accident,Expressway,Yes
San Jose,NY,3219,72.34,High,Snow,Accident,Highway,Yes
San Diego,CA,1073,101.74,High,Cloudy,Breakdown,Expressway,No
San Diego,TX,1559,42.34,High,Cloudy,Construction,Rural,No
Philadelphia,NY,2088,17.74,High,Fog,None,Expressway,Yes
Houston,IL,1443,79.55,Medium,Snow,Breakdown,Expressway,Yes
San Diego,PA,2396,92.69,Medium,Cloudy,Breakdown,Highway,No
San Diego,AZ,905,115,High,Cloudy,Accident,Rural,Yes
San Jose,IL,1216,27.55,Low,Fog,Construction,Rural,Yes
New York,IL,2804,109.15,High,Snow,Construction,Expressway,Yes
Houston,TX,1715,63.03,Low,Rain,None,Rural,No
Houston,CA,4088,35.93,Low,Cloudy,Accident,Urban,No
San Antonio,TX,2022,115.9,High,Clear,Accident,Highway,Yes
San Antonio,AZ,3737,36.23,Low,Fog,Breakdown,Expressway,Yes
San Diego,TX,1166,90.68,Low,Fog,Breakdown,Expressway,Yes
Phoenix,AZ,3418,96.34,High,Fog,Construction,Rural,No
San Antonio,TX,4592,57.36,Medium,Snow,Breakdown,Expressway,No
San Diego,PA,783,85.9,Low,Rain,Construction,Expressway,No
Dallas,CA,3833,72.97,High,Clear,Accident,Rural,Yes
Chicago,PA,2971,31.12,Medium,Fog,None,Urban,Yes
Chicago,NY,3379,93.59,Medium,Cloudy,None,Urban,No
Houston,CA,4667,112.08,Medium,Rain,None,Urban,Yes
Phoenix,TX,1756,63.75,Medium,Rain,Construction,Expressway,No
San Jose,IL,3548,119.37,Medium,Fog,Construction,Urban,No
New York,NY,1174,57.08,Low,Clear,None,Highway,No
San Antonio,IL,4767,62.77,Medium,Fog,Accident,Expressway,Yes
Dallas,PA,4904,84.13,Low,Clear,Construction,Urban,No
San Diego,CA,1908,30.43,High,Fog,Construction,Rural,No
Phoenix,NY,2341,109.21,High,Fog,Accident,Expressway,No
Houston,PA,2563,98.14,High,Fog,Breakdown,Expressway,No
San Antonio,TX,3565,105.97,Medium,Snow,Construction,Highway,No
Phoenix,IL,2050,77.05,High,Fog,Construction,Highway,No
San Antonio,TX,1847,107.21,Low,Rain,None,Urban,Yes
New York,AZ,2366,84.8,Low,Cloudy,None,Urban,No
New York,NY,2630,66.27,Medium,Cloudy,Breakdown,Expressway,Yes
San Jose,IL,2064,112.5,Medium,Fog,Accident,Urban,No
Chicago,CA,2217,58.37,High,Snow,None,Highway,No
Los Angeles,CA,3078,65.06,Medium,Fog,Construction,Highway,Yes
Los Angeles,CA,1997,28.65,Medium,Fog,None,Urban,Yes
San Antonio,PA,1193,114.24,High,Clear,Breakdown,Highway,Yes
San Jose,CA,4855,34.32,Medium,Rain,None,Expressway,Yes
Los Angeles,IL,4281,32.16,Low,Clear,Construction,Urban,No
Houston,PA,3198,21.13,Medium,Cloudy,Construction,Expressway,No
Los Angeles,AZ,985,59.87,High,Snow,Breakdown,Urban,Yes
Philadelphia,CA,3207,40.1,Low,Clear,Breakdown,Highway,Yes
San Diego,CA,50,91.49,High,Rain,Breakdown,Expressway,No
San Jose,PA,126,43.83,High,Rain,Construction,Rural,Yes
Houston,CA,2678,89.28,Medium,Rain,None,Highway,Yes
Phoenix,AZ,2245,31.56,High,Cloudy,None,Rural,No
Houston,PA,623,35.3,Low,Clear,None,Highway,Yes
Chicago,PA,1598,98.68,Low,Rain,Accident,Rural,Yes
Phoenix,NY,235,50.82,Low,Cloudy,None,Expressway,No
Dallas,PA,4667,22.3,Low,Snow,Breakdown,Rural,No
San Diego,CA,3892,115.75,Medium,Fog,Accident,Expressway,No
San Diego,PA,3542,29.51,High,Snow,Construction,Highway,No
San Diego,CA,2293,26.52,Medium,Clear,Construction,Urban,Yes
San Diego,CA,83,49.42,Low,Snow,Accident,Rural,Yes
San Antonio,PA,1670,20.52,Medium,Cloudy,Construction,Expressway,No
San Diego,NY,1946,27.12,High,Clear,Construction,Rural,Yes
San Diego,CA,2505,103.11,High,Rain,Accident,Urban,No
San Diego,NY,1850,28.87,Medium,Cloudy,Accident,Expressway,No
San Jose,NY,4682,22.26,High,Clear,Breakdown,Highway,No
San Antonio,PA,2133,106.8,Low,Clear,Breakdown,Highway,Yes
New York,TX,1455,58.82,Medium,Cloudy,None,Urban,No
Houston,TX,3738,27.29,High,Snow,None,Urban,Yes
Houston,CA,2702,73.97,Low,Snow,Accident,Rural,Yes
Phoenix,IL,4588,14.57,Medium,Rain,Breakdown,Urban,Yes
San Jose,TX,1236,57.01,High,Clear,Accident,Urban,Yes
Philadelphia,PA,4183,74.93,High,Snow,Accident,Expressway,No
Houston,PA,2189,115.28,Low,Clear,Accident,Expressway,Yes
Los Angeles,TX,2728,45.91,High,Snow,Accident,Highway,No
Philadelphia,IL,3844,94.16,Medium,Cloudy,None,Rural,No
San Diego,AZ,2769,24.6,Low,Cloudy,Accident,Rural,No
San Diego,CA,4652,57.69,Medium,Snow,Construction,Expressway,No
San Antonio,AZ,2276,34.54,Low,Cloudy,None,Highway,Yes
Philadelphia,AZ,2381,64.17,High,Clear,Construction,Expressway,Yes
Los Angeles,NY,4073,55.9,Low,Cloudy,Breakdown,Highway,No
San Antonio,NY,4500,117.78,Low,Rain,None,Rural,No
Phoenix,CA,3418,110.92,Medium,Snow,Construction,Expressway,Yes
Philadelphia,IL,4007,74.04,High,Rain,Construction,Expressway,Yes
San Jose,NY,537,29.42,Medium,Cloudy,Accident,Expressway,Yes
San Diego,TX,328,71.27,Medium,Snow,Accident,Highway,No
San Diego,CA,2641,97.13,High,Snow,None,Expressway,No
Chicago,PA,699,14.18,Low,Clear,None,Highway,No
San Antonio,AZ,3028,57.74,Medium,Clear,Accident,Expressway,Yes
New York,CA,404,14.69,Low,Cloudy,Construction,Urban,No
New York,PA,2292,36.84,High,Clear,None,Urban,Yes
San Antonio,PA,4949,20.13,Low,Clear,None,Rural,No
San Jose,NY,2530,115.66,High,Rain,Accident,Urban,Yes
Dallas,PA,607,28.57,High,Rain,Accident,Rural,No
San Antonio,IL,3536,26.51,Low,Rain,None,Highway,No
San Jose,PA,211,116.93,High,Cloudy,Construction,Rural,No
Phoenix,PA,748,66.76,Medium,Snow,None,Expressway,No
San Diego,AZ,2023,93.38,Medium,Fog,Accident,Expressway,No
Los Angeles,IL,3594,46,Low,Cloudy,None,Urban,Yes
Dallas,CA,3827,68.61,Medium,Snow,None,Expressway,Yes
Philadelphia,IL,2255,10.75,High,Clear,Construction,Urban,Yes
Dallas,IL,541,54.97,Medium,Cloudy,None,Rural,No
Los Angeles,CA,2042,71.06,Medium,Snow,Construction,Rural,No
Chicago,AZ,1082,66.59,Low,Cloudy,Accident,Expressway,Yes
San Diego,PA,3333,54.64,High,Clear,Breakdown,Rural,Yes
